Rk,Player,Age,Team,G,PA,AB,R,H,2B,3B,HR,RBI,OBP,SLG,OPS,Player-additional
312,LaMonte Wade Jr.*,31,2TM,80,242,209,19,35,8,2,2,18,0.271,0.254,0.524,wadela01
312,LaMonte Wade Jr.*,31,SFG,50,169,144,12,24,8,2,1,15,0.275,0.271,0.546,wadela01
312,LaMonte Wade Jr.*,31,LAA,30,73,65,7,11,0,0,1,3,0.26,0.215,0.476,wadela01
313,Nick Fortes,28,2TM,97,242,218,19,50,9,1,5,21,0.296,0.349,0.644,forteni01
313,Nick Fortes,28,MIA,59,141,129,11,31,6,1,2,10,0.288,0.349,0.637,forteni01
313,Nick Fortes,28,TBR,38,101,89,8,19,3,0,3,11,0.307,0.348,0.655,forteni01
314,Dylan Carlson#,26,BAL,83,241,217,17,44,9,1,6,20,0.278,0.336,0.614,carlsdy01
315,Alexander Canario,25,PIT,87,234,216,25,47,6,1,6,20,0.274,0.338,0.611,canaral01
316,Jakob Marsee*,24,MIA,55,234,209,28,61,18,3,5,33,0.363,0.478,0.842,marseja01
317,Jac Caglianone*,22,KCR,62,232,210,19,33,6,1,7,18,0.237,0.295,0.532,caglija01
318,Travis d'Arnaud,36,LAA,69,231,213,16,42,13,0,6,21,0.255,0.343,0.598,darnatr01
319,Davis Schneider,26,TOR,82,227,188,33,44,5,0,11,31,0.361,0.436,0.797,schneda03
320,Dominic Smith*,30,SFG,63,225,204,26,58,12,0,5,33,0.333,0.417,0.75,smithdo02
321,Tim Tawa,26,ARI,74,225,199,29,40,8,0,7,18,0.274,0.347,0.62,tawati01
322,Jake McCarthy*,27,ARI,67,222,206,18,42,7,5,4,20,0.247,0.345,0.591,mccarja02
323,Anthony Santander#,30,TOR,54,221,194,16,34,5,0,6,18,0.271,0.294,0.565,santaan02
324,Evan Carter*,22,TEX,63,220,194,31,48,9,2,5,25,0.336,0.392,0.728,carteev01
325,Max Muncy,22,ATH,63,220,206,17,44,7,0,9,23,0.259,0.379,0.638,muncyma02
326,Ezequiel Durán,26,TEX,90,219,205,16,46,14,0,0,14,0.266,0.293,0.559,duranez01
327,Luke Raley*,30,SEA,73,219,183,23,37,8,0,4,19,0.319,0.311,0.631,raleylu01
328,Drew Waters#,26,KCR,71,219,206,21,50,6,3,1,14,0.288,0.316,0.603,waterdr01
329,Jake Bauers*,29,MIL,85,218,183,28,43,9,0,7,28,0.353,0.399,0.752,bauerja01
330,Otto Kemp,25,PHI,62,218,197,26,46,11,0,8,28,0.298,0.411,0.709,kempot01
331,Kameron Misner*,27,TBR,71,217,197,27,42,9,1,5,22,0.273,0.345,0.618,misneka01
332,Jake Fraley*,30,2TM,76,217,191,31,46,9,0,6,23,0.332,0.382,0.714,fraleja01
332,Jake Fraley*,30,CIN,67,193,168,29,39,8,0,6,23,0.332,0.387,0.719,fraleja01
332,Jake Fraley*,30,ATL,9,24,23,2,7,1,0,0,0,0.333,0.348,0.681,fraleja01
333,Christian Vázquez,34,MIN,65,214,190,14,36,7,0,3,14,0.271,0.274,0.545,vazquch01
334,Orlando Arcia,30,2TM,76,214,203,13,41,7,1,3,13,0.238,0.291,0.529,arciaor01
334,Orlando Arcia,30,ATL,14,32,31,1,6,1,0,0,1,0.219,0.226,0.445,arciaor01
334,Orlando Arcia,30,COL,62,182,172,12,35,6,1,3,12,0.242,0.302,0.544,arciaor01
335,Parker Meadows*,25,DET,58,213,191,22,41,6,2,4,16,0.291,0.33,0.621,meadopa01
336,Max Schuemann,28,ATH,101,213,183,20,36,4,2,2,13,0.295,0.273,0.568,schuema01
337,Alex Verdugo*,29,ATL,56,213,197,21,47,10,0,0,12,0.296,0.289,0.585,verdual01
338,Josh Rojas*,31,CHW,69,211,189,14,34,9,0,2,11,0.252,0.259,0.512,rojasjo01
339,Tyler O'Neill,30,BAL,54,209,181,22,36,6,1,9,26,0.292,0.392,0.684,oneilty01
340,Rob Refsnyder,34,BOS,70,209,182,29,49,12,0,9,30,0.354,0.484,0.838,refsnro01
341,Nacho Alvarez Jr.,22,ATL,58,208,188,18,44,12,0,2,15,0.296,0.33,0.626,alvarna01
342,Paul DeJong,31,WSN,57,208,193,18,44,10,0,6,23,0.269,0.373,0.642,dejonpa01
343,Edouard Julien*,26,MIN,64,208,182,13,40,10,0,3,12,0.309,0.324,0.633,julieed01
344,Luke Keaschall,22,MIN,49,207,182,25,55,14,0,4,28,0.382,0.445,0.827,keasclu01
345,Ryan Ritter,24,COL,60,207,187,22,45,9,3,1,18,0.296,0.337,0.632,rittery01
346,Robert Hassell III*,23,WSN,70,206,197,22,44,9,0,3,18,0.257,0.315,0.572,hassero02
347,Masataka Yoshida*,31,BOS,55,205,188,16,50,11,0,4,26,0.307,0.388,0.696,yoshima02
348,José Herrera#,28,ARI,57,204,166,21,31,6,0,2,17,0.285,0.259,0.544,herrejo04
349,Yordan Alvarez*,28,HOU,48,199,165,17,45,8,0,6,27,0.367,0.43,0.797,alvaryo01
350,Darell Hernaiz,23,ATH,51,197,173,17,40,5,1,2,16,0.292,0.306,0.599,hernada04
351,Gio Urshela,33,ATH,59,197,181,10,43,14,1,0,20,0.287,0.326,0.613,urshegi01
352,David Hamilton*,27,BOS,91,194,177,27,35,4,1,6,19,0.257,0.333,0.59,hamilda03
353,Luisangel Acuña,23,NYM,95,193,175,30,41,7,0,0,8,0.293,0.274,0.567,acunajo01
354,Andy Ibáñez,32,DET,91,193,176,24,42,8,0,4,21,0.301,0.352,0.653,ibanean01
355,Christian Koss,27,SFG,74,191,174,25,46,9,0,3,23,0.309,0.368,0.676,kossch01
356,Justin Turner,40,CHC,80,191,169,14,37,7,0,3,18,0.288,0.314,0.602,turneju01
357,Amed Rosario,29,2TM,62,191,181,20,50,11,0,6,23,0.309,0.436,0.745,rosaram01
357,Amed Rosario,29,WSN,46,158,148,19,40,8,0,5,18,0.31,0.426,0.736,rosaram01
357,Amed Rosario,29,NYY,16,33,33,1,10,3,0,1,5,0.303,0.485,0.788,rosaram01
358,Ha-Seong Kim,29,2TM,48,191,171,19,40,4,0,5,17,0.304,0.345,0.649,kimha01
358,Ha-Seong Kim,29,TBR,24,93,84,5,18,3,0,2,5,0.29,0.321,0.612,kimha01
358,Ha-Seong Kim,29,ATL,24,98,87,14,22,1,0,3,12,0.316,0.368,0.684,kimha01
359,Matt Thaiss*,30,2TM,60,190,156,16,34,6,1,1,16,0.349,0.288,0.638,thaisma01
359,Matt Thaiss*,30,CHW,35,110,85,11,18,4,0,1,8,0.382,0.294,0.676,thaisma01
359,Matt Thaiss*,30,TBR,25,80,71,5,16,2,1,0,8,0.304,0.282,0.585,thaisma01
360,Nick Loftin,26,KCR,67,188,168,17,35,9,2,4,20,0.278,0.357,0.635,loftini01
361,Connor Wong,29,BOS,63,188,168,16,32,8,0,0,7,0.262,0.238,0.5,wongco01
362,Luis Matos,23,SFG,57,184,172,26,38,9,1,8,22,0.266,0.424,0.691,matoslu02
363,Ronny Mauricio#,24,NYM,61,184,168,19,38,6,0,6,10,0.293,0.369,0.663,mauriro01
364,Christian Moore,22,LAA,53,184,162,20,32,5,1,7,16,0.284,0.37,0.655,moorech03
365,Graham Pauley*,24,MIA,62,184,161,18,36,9,1,4,11,0.311,0.366,0.678,paulegr01
366,Jeremiah Jackson,25,BAL,48,183,170,20,47,10,2,5,21,0.328,0.447,0.775,jacksje02
367,Sam Haggerty#,31,TEX,64,182,162,31,41,7,3,2,13,0.328,0.37,0.698,haggesa01
368,Austin Martin,26,MIN,50,181,156,22,44,8,1,1,7,0.374,0.365,0.74,martiau01
369,Austin Hedges,32,CLE,68,180,155,13,25,3,0,5,10,0.25,0.277,0.527,hedgeau01
370,Leody Taveras#,26,2TM,58,180,171,13,35,6,1,3,17,0.226,0.304,0.53,taverle01
370,Leody Taveras#,26,TEX,30,82,79,7,19,3,1,1,8,0.259,0.342,0.601,taverle01
370,Leody Taveras#,26,SEA,28,98,92,6,16,3,0,2,9,0.198,0.272,0.47,taverle01
371,Donovan Solano,37,2TM,71,179,166,10,41,4,1,3,21,0.291,0.337,0.628,solando01
371,Donovan Solano,37,SEA,69,176,163,10,41,4,1,3,21,0.295,0.344,0.639,solando01
371,Donovan Solano,37,TEX,2,3,3,0,0,0,0,0,0,0,0,0,solando01
372,Jack Suwinski*,26,PIT,59,178,150,15,22,7,0,3,10,0.281,0.253,0.534,suwinja01
373,Alejandro Osuna*,22,TEX,63,176,151,12,32,4,0,2,15,0.313,0.278,0.591,osunaal02
374,Miles Mastrobuoni*,29,SEA,76,175,152,20,38,4,0,1,12,0.324,0.296,0.62,mastrmi01
375,John Rave*,27,KCR,72,175,153,18,30,5,0,4,14,0.283,0.307,0.59,ravejo01
376,Tyler Heineman#,34,TOR,61,174,149,25,43,8,1,3,20,0.361,0.416,0.777,heinety01
377,Johan Rojas,24,PHI,71,172,152,23,34,3,2,1,18,0.28,0.289,0.569,rojasjo03
378,Blake Perkins#,28,MIL,54,171,155,25,35,6,2,3,19,0.298,0.348,0.647,perkibl01
379,Hyeseong Kim*,26,LAD,71,170,161,19,45,6,1,3,17,0.314,0.385,0.699,kimhy02
380,José Tena*,24,WSN,50,169,152,19,37,13,2,0,16,0.314,0.355,0.669,tenajo01
381,Yohel Pozo,28,STL,67,168,160,16,37,8,0,5,19,0.262,0.375,0.637,pozoyo01
382,Heston Kjerstad*,26,BAL,54,167,156,16,30,5,2,4,19,0.24,0.327,0.566,kjershe01
383,Thairo Estrada,29,COL,39,165,154,14,39,9,0,3,21,0.285,0.37,0.655,estrath01
384,Martín Maldonado,38,SDP,64,161,147,11,30,6,0,4,12,0.245,0.327,0.572,maldoma01
385,Austin Slater,32,2TM,65,160,148,22,32,6,1,5,13,0.27,0.372,0.642,slateau01
385,Austin Slater,32,CHW,51,135,123,20,29,6,1,5,11,0.299,0.423,0.721,slateau01
385,Austin Slater,32,NYY,14,25,25,2,3,0,0,0,2,0.12,0.12,0.24,slateau01
386,Denzel Clarke,25,ATH,47,159,148,18,34,8,2,3,8,0.274,0.372,0.646,clarkde02
387,David Fry,29,CLE,66,157,146,16,25,4,0,8,23,0.229,0.363,0.592,fryda01
388,Kyle Karros,22,COL,43,156,137,20,31,4,0,1,9,0.308,0.277,0.585,karroky01
389,Dalton Rushing*,24,LAD,53,155,142,15,29,5,0,4,24,0.258,0.324,0.582,rushida01
390,Jhonkensy Noel,23,CLE,69,153,148,19,24,2,0,6,13,0.183,0.297,0.48,noeljh01
391,Alan Roden*,25,2TM,55,153,136,17,26,6,1,2,9,0.261,0.294,0.556,rodenal01
391,Alan Roden*,25,TOR,43,113,98,12,20,5,1,1,8,0.283,0.306,0.589,rodenal01
391,Alan Roden*,25,MIN,12,40,38,5,6,1,0,1,1,0.2,0.263,0.463,rodenal01
392,Jahmai Jones,27,DET,72,150,129,21,37,11,1,7,23,0.387,0.55,0.937,jonesja08
393,Bryce Teodosio,26,LAA,50,150,138,12,28,7,2,1,7,0.248,0.304,0.553,teodobr01
394,Derek Hill,29,2TM,57,149,134,19,29,6,0,3,11,0.281,0.328,0.609,hillde01
394,Derek Hill,29,MIA,53,141,127,19,27,6,0,3,10,0.275,0.331,0.606,hillde01
394,Derek Hill,29,CHW,4,8,7,0,2,0,0,0,1,0.375,0.286,0.661,hillde01
395,Will Wagner*,26,2TM,55,149,129,15,29,7,0,0,7,0.324,0.279,0.603,wagnewi01
395,Will Wagner*,26,TOR,40,132,114,13,27,7,0,0,7,0.336,0.298,0.634,wagnewi01
395,Will Wagner*,26,SDP,15,17,15,2,2,0,0,0,0,0.235,0.133,0.369,wagnewi01
396,Brandon Lockridge,28,2TM,67,148,134,17,31,7,1,0,11,0.276,0.299,0.574,lockrbr01
396,Brandon Lockridge,28,SDP,47,95,88,9,19,4,0,0,5,0.258,0.261,0.519,lockrbr01
396,Brandon Lockridge,28,MIL,20,53,46,8,12,3,1,0,6,0.308,0.37,0.677,lockrbr01
397,James Outman*,28,2TM,59,148,134,19,18,5,1,6,11,0.216,0.321,0.537,outmaja01
397,James Outman*,28,LAD,22,44,39,8,4,1,0,2,4,0.205,0.282,0.487,outmaja01
397,James Outman*,28,MIN,37,104,95,11,14,4,1,4,7,0.221,0.337,0.558,outmaja01
398,Yanquiel Fernández*,22,COL,52,147,138,13,31,5,0,4,11,0.265,0.348,0.613,fernaya01
399,Warming Bernabel,23,COL,40,146,139,15,35,8,1,4,14,0.288,0.41,0.698,bernawa01
400,Joshua Palacios*,29,CHW,51,145,128,11,26,4,0,3,9,0.292,0.305,0.596,palacjo01
401,DJ LeMahieu,36,NYY,45,142,128,13,34,3,0,2,12,0.338,0.336,0.674,lemahdj01
402,Jake Rogers,30,DET,46,142,123,14,23,5,2,3,19,0.277,0.333,0.61,rogerja03
403,Lane Thomas,29,CLE,39,142,125,10,20,2,0,4,11,0.246,0.272,0.518,thomala02
404,Reese McGuire*,30,CHC,44,140,133,17,30,2,0,9,24,0.245,0.444,0.688,mcguire01
405,Kyren Paris,23,LAA,44,140,126,20,24,4,1,6,11,0.266,0.381,0.647,parisky01
406,C.J. Kayfus*,23,CLE,44,138,123,16,27,10,1,4,19,0.292,0.415,0.707,kayfucj01
407,Dylan Beavers*,23,BAL,35,137,110,16,25,5,1,4,14,0.375,0.4,0.775,beavedy01
408,Christian Encarnacion-Strand,25,CIN,36,137,130,13,27,4,0,6,19,0.234,0.377,0.61,encarch01
409,James McCann,35,ARI,42,137,123,18,32,6,0,5,17,0.324,0.431,0.754,mccanja02
410,Marcelo Mayer*,22,BOS,44,136,127,20,29,8,1,4,10,0.272,0.402,0.674,mayerma01
411,Andruw Monasterio,28,MIL,68,135,126,19,34,9,0,4,16,0.319,0.437,0.755,monasan01
412,Taylor Trammell*,27,HOU,52,135,117,15,23,7,0,3,12,0.296,0.333,0.63,trammta01
413,Matt Mervis*,27,MIA,42,134,120,15,21,4,0,7,14,0.254,0.383,0.637,mervima01
414,Colby Thomas,24,ATH,49,132,120,20,27,5,0,6,19,0.267,0.417,0.684,thomaco03
415,Adrian Del Castillo*,25,ARI,44,131,120,9,29,6,0,4,17,0.29,0.392,0.682,delcaad01
416,Jacob Stallings,35,2TM,42,129,119,5,16,4,0,0,9,0.195,0.168,0.363,stallja01
416,Jacob Stallings,35,COL,28,93,84,4,12,3,0,0,6,0.217,0.179,0.396,stallja01
416,Jacob Stallings,35,BAL,14,36,35,1,4,1,0,0,3,0.139,0.143,0.282,stallja01
417,Adael Amador#,22,COL,41,128,113,5,20,7,0,1,10,0.256,0.265,0.521,amadoad01
418,Brendan Rodgers,28,HOU,43,128,115,12,22,4,0,2,11,0.266,0.278,0.544,rodgebr02
419,Ben Rortvedt*,27,2TM,44,128,112,9,17,3,0,1,10,0.24,0.205,0.445,rortvbe01
419,Ben Rortvedt*,27,TBR,26,70,63,2,6,1,0,0,6,0.186,0.111,0.297,rortvbe01
419,Ben Rortvedt*,27,LAD,18,58,49,7,11,2,0,1,4,0.309,0.327,0.636,rortvbe01
420,Justyn-Henry Malloy,25,DET,52,127,104,15,23,6,0,1,17,0.346,0.308,0.654,malloju02
421,Emmanuel Rivera,29,BAL,42,127,120,5,30,4,0,0,13,0.291,0.283,0.575,riverem01
422,Tyler Wade*,30,SDP,59,127,107,13,22,1,2,0,9,0.309,0.252,0.561,wadety01
423,Mark Canha,36,KCR,46,125,113,9,24,3,0,1,6,0.272,0.265,0.537,canhama01
424,Weston Wilson,30,PHI,52,125,111,15,22,4,0,5,17,0.282,0.369,0.652,wilsowe01
425,Chris Taylor,34,2TM,58,125,113,15,21,7,0,2,12,0.256,0.301,0.557,tayloch03
425,Chris Taylor,34,LAD,28,35,35,4,7,2,0,0,2,0.2,0.257,0.457,tayloch03
425,Chris Taylor,34,LAA,30,90,78,11,14,5,0,2,10,0.278,0.321,0.598,tayloch03
426,Jonah Bride,29,2TM,45,125,112,7,19,2,0,0,5,0.248,0.188,0.436,bridejo01
426,Jonah Bride,29,MIA,12,45,40,3,4,0,0,0,2,0.2,0.1,0.3,bridejo01
426,Jonah Bride,29,MIN,33,80,72,4,15,2,0,0,3,0.275,0.236,0.511,bridejo01
427,Oswaldo Cabrera#,26,NYY,34,122,107,17,26,4,0,1,11,0.322,0.308,0.631,cabreos01
428,Cody Freeman,24,TEX,36,121,114,13,26,4,0,3,15,0.258,0.342,0.6,freemco01
429,Troy Johnston*,28,MIA,44,121,112,12,31,2,1,4,13,0.331,0.42,0.75,johnstr02
430,Ildemaro Vargas#,33,ARI,38,121,115,12,31,2,1,3,19,0.292,0.383,0.674,vargail01
431,Braxton Fulford,26,COL,38,120,108,11,23,5,2,1,16,0.267,0.324,0.591,fulfobr01
432,Samuel Basallo*,20,BAL,31,118,109,10,18,6,0,4,15,0.229,0.33,0.559,basalsa01
433,Rafael Marchán#,26,PHI,42,118,105,9,22,4,0,2,13,0.282,0.305,0.587,marchra01
434,Tyler Locklear,24,ARI,31,116,103,11,18,0,0,3,6,0.267,0.262,0.529,locklty01
435,Chas McCormick,30,HOU,64,116,100,13,21,5,0,1,5,0.279,0.29,0.569,mccorch01
436,Kevin Newman,31,LAA,56,116,114,13,23,2,0,2,11,0.209,0.272,0.481,newmake01
437,Víctor Robles,28,SEA,32,114,106,12,26,4,1,1,9,0.281,0.33,0.611,roblevi01
438,Triston Casas*,25,BOS,29,112,99,5,18,3,0,3,11,0.277,0.303,0.58,casastr01
439,Jonatan Clase#,23,TOR,34,112,100,10,21,3,0,2,9,0.288,0.3,0.588,clasejo01
440,Willie MacIver,28,ATH,32,111,102,7,19,5,0,3,9,0.252,0.324,0.576,macivwi01
441,Nick Martini*,35,COL,43,111,102,9,23,4,0,1,4,0.288,0.294,0.582,martini02
442,Leo Rivas#,27,SEA,48,111,90,19,22,2,0,2,9,0.387,0.333,0.721,rivasle01
443,Mickey Gasper#,29,MIN,45,110,95,15,15,1,0,2,11,0.257,0.232,0.488,gaspemi01
444,Michael Helman,29,TEX,38,110,99,18,23,5,1,5,20,0.29,0.455,0.744,helmami01
445,Austin Wynns,34,2TM,40,110,103,13,30,8,0,6,21,0.321,0.544,0.865,wynnsau01
445,Austin Wynns,34,CIN,18,43,40,6,16,3,0,3,11,0.442,0.7,1.142,wynnsau01
445,Austin Wynns,34,ATH,22,67,63,7,14,5,0,3,10,0.242,0.444,0.687,wynnsau01
446,Zach Dezenzo,25,HOU,34,109,98,17,24,6,0,2,10,0.321,0.367,0.688,dezenza01
447,Drew Gilbert*,24,SFG,39,109,100,12,19,5,1,3,13,0.248,0.35,0.598,gilbedr01
448,Hunter Renfroe,33,KCR,35,108,99,5,18,6,0,0,4,0.241,0.242,0.483,renfrhu01
449,Jon Berti,35,CHC,51,107,100,12,21,2,0,0,2,0.262,0.23,0.492,bertijo01
450,Carson Williams,22,TBR,32,106,99,11,17,3,0,5,12,0.219,0.354,0.573,willica02
451,Cooper Hummel#,30,2TM,37,105,88,10,15,0,0,3,7,0.298,0.273,0.571,hummeco01
451,Cooper Hummel#,30,BAL,1,1,1,0,0,0,0,0,0,0,0,0,hummeco01
451,Cooper Hummel#,30,HOU,36,104,87,10,15,0,0,3,7,0.301,0.276,0.577,hummeco01
452,Hunter Feduccia*,28,2TM,38,105,88,5,13,5,0,0,8,0.267,0.205,0.471,feduchu01
452,Hunter Feduccia*,28,LAD,2,3,2,0,0,0,0,0,0,0.333,0,0.333,feduchu01
452,Hunter Feduccia*,28,TBR,36,102,86,5,13,5,0,0,8,0.265,0.209,0.474,feduchu01
453,Vinny Capra,28,2TM,47,105,96,10,12,2,0,1,6,0.157,0.177,0.334,capravi01
453,Vinny Capra,28,MIL,24,59,54,6,4,0,0,1,4,0.121,0.13,0.25,capravi01
453,Vinny Capra,28,CHW,23,46,42,4,8,2,0,0,2,0.205,0.238,0.443,capravi01
454,Joey Loperfido*,26,TOR,41,104,96,12,32,4,0,4,14,0.379,0.5,0.879,loperjo01
455,Nick Sogard#,27,BOS,30,104,96,13,25,8,0,0,9,0.317,0.344,0.661,sogarni01
456,Miguel Amaya,26,CHC,28,103,96,14,27,9,0,4,25,0.314,0.5,0.814,amayami01
457,Enmanuel Valdéz*,26,PIT,31,102,91,7,19,4,2,2,12,0.294,0.363,0.657,valdeen01
458,Zack Gelof,25,ATH,30,101,92,12,16,3,0,2,7,0.23,0.272,0.502,gelofza01
459,Gary Sánchez,32,BAL,29,101,91,13,21,2,0,5,24,0.297,0.418,0.715,sanchga02
460,Alex Jackson,29,BAL,36,100,91,17,20,8,0,5,8,0.29,0.473,0.763,jacksal02
461,Matt Vierling,28,DET,31,100,88,6,21,3,0,1,11,0.31,0.307,0.617,vierlma01
462,Carlos Cortes*,28,ATH,42,99,94,11,29,8,1,4,14,0.323,0.543,0.866,corteca01
463,J.C. Escarra*,30,NYY,40,98,84,5,17,5,0,2,11,0.296,0.333,0.629,escarjc01
464,Alex Freeland#,23,LAD,29,97,84,10,16,2,1,2,6,0.292,0.31,0.601,freelal01
465,Jason Heyward*,35,SDP,34,95,85,9,15,2,0,2,12,0.223,0.271,0.494,heywaja01
466,Vidal Bruján#,27,3TM,60,95,87,14,22,5,0,0,8,0.305,0.31,0.616,brujavi01
466,Vidal Bruján#,27,2TM,59,94,86,14,21,5,0,0,8,0.298,0.302,0.6,brujavi01
466,Vidal Bruján#,27,CHC,36,47,45,6,10,3,0,0,3,0.234,0.289,0.523,brujavi01
466,Vidal Bruján#,27,BAL,1,1,1,0,1,0,0,0,0,1,1,2,brujavi01
466,Vidal Bruján#,27,ATL,23,47,41,8,11,2,0,0,5,0.362,0.317,0.679,brujavi01
467,Nasim Nuñez#,24,WSN,39,92,82,13,19,2,0,4,13,0.297,0.402,0.699,nunezna01
468,Jeimer Candelario#,31,CIN,22,91,80,3,9,2,0,2,10,0.198,0.213,0.41,candeje01
469,Will Wilson,26,CLE,34,91,78,7,15,4,0,0,2,0.267,0.244,0.511,wilsowi03
470,Garrett Hampson,30,3TM,62,91,77,19,11,2,0,0,1,0.25,0.169,0.419,hampsga01
470,Garrett Hampson,30,ARI,18,41,30,10,5,0,0,0,0,0.359,0.167,0.526,hampsga01
470,Garrett Hampson,30,CIN,9,19,18,0,3,1,0,0,0,0.211,0.222,0.433,hampsga01
470,Garrett Hampson,30,STL,35,31,29,9,3,1,0,0,1,0.133,0.138,0.271,hampsga01
471,Tim Anderson,32,LAA,31,90,83,8,17,3,0,0,3,0.258,0.241,0.499,anderti01
472,Nate Eaton,28,BOS,41,90,81,16,24,4,0,1,4,0.348,0.383,0.731,eatonna01
473,DaShawn Keirsey Jr.*,28,MIN,74,88,84,11,9,0,0,2,6,0.138,0.179,0.317,keirsda01
474,Andrew Knizner,30,SFG,33,88,77,12,17,1,1,1,5,0.299,0.299,0.598,kniznan01
475,Liover Peguero,24,PIT,33,88,80,9,16,1,0,4,8,0.273,0.363,0.635,pegueli01
476,Ronny Simón#,25,2TM,27,88,77,10,18,3,0,0,7,0.299,0.273,0.572,simonro01
476,Ronny Simón#,25,MIA,19,56,47,6,11,2,0,0,5,0.327,0.277,0.604,simonro01
476,Ronny Simón#,25,PIT,8,32,30,4,7,1,0,0,2,0.25,0.267,0.517,simonro01
477,Griffin Conine*,27,MIA,24,86,79,13,20,7,0,2,8,0.314,0.418,0.732,coningr01
478,Tristan Gray*,29,TBR,30,86,78,9,18,5,0,3,9,0.282,0.41,0.693,graytr01
479,Brett Harris,27,ATH,32,84,73,11,20,5,0,0,5,0.349,0.342,0.692,harribr02
480,Bryce Johnson#,29,SDP,55,84,76,9,26,4,0,1,8,0.383,0.434,0.817,johnsbr03
481,Cavan Biggio*,30,KCR,37,83,69,9,12,2,0,1,4,0.296,0.246,0.543,biggica01
482,Jorge Mateo,30,BAL,42,83,79,9,14,4,0,1,3,0.217,0.266,0.483,mateojo01
483,Bob Seymour*,26,TBR,26,83,78,9,16,1,1,1,5,0.253,0.282,0.535,seymobo01
484,Jesse Winker*,31,NYM,26,81,70,8,16,5,2,1,10,0.309,0.4,0.709,winkeje01
485,Connor Joe,32,2TM,42,80,70,2,13,4,0,0,4,0.263,0.243,0.505,joeco01
485,Connor Joe,32,SDP,7,10,9,0,0,0,0,0,0,0.1,0,0.1,joeco01
485,Connor Joe,32,CIN,35,70,61,2,13,4,0,0,4,0.286,0.279,0.564,joeco01
486,Jacob Melton*,24,HOU,32,78,70,7,11,0,1,0,7,0.234,0.186,0.419,meltoja01
487,Garrett Mitchell*,26,MIL,25,78,68,9,14,4,1,0,3,0.286,0.294,0.58,mitchga01
488,Hayden Senger,28,NYM,33,78,72,8,13,1,0,0,4,0.221,0.194,0.415,sengeha01
489,Jhonny Pereda,29,2TM,28,78,69,4,17,6,0,0,4,0.325,0.333,0.658,peredjh01
489,Jhonny Pereda,29,ATH,17,46,40,3,7,2,0,0,3,0.283,0.225,0.508,peredjh01
489,Jhonny Pereda,29,MIN,11,32,29,1,10,4,0,0,1,0.387,0.483,0.87,peredjh01
490,Jorge Barrosa#,24,ARI,33,77,71,8,10,3,0,1,7,0.169,0.225,0.394,barrojo01
491,Eric Haase,32,MIL,30,77,70,11,16,3,0,2,9,0.289,0.357,0.647,haaseer01
492,Johnathan Rodríguez,25,CLE,31,77,71,6,14,4,1,2,10,0.26,0.366,0.626,rodrijo10
493,Seth Brown*,32,ATH,38,76,65,6,12,2,0,1,3,0.303,0.262,0.564,brownse01
494,Blake Dunn,26,CIN,30,75,60,10,9,2,0,1,7,0.32,0.233,0.553,dunnbl01
495,Will Robertson*,27,2TM,27,75,70,2,9,1,0,0,9,0.173,0.143,0.316,roberwi02
495,Will Robertson*,27,TOR,3,12,10,0,1,0,0,0,1,0.25,0.1,0.35,roberwi02
495,Will Robertson*,27,CHW,24,63,60,2,8,1,0,0,8,0.159,0.15,0.309,roberwi02
496,Jordan Lawlar,22,ARI,28,74,66,9,12,7,0,0,5,0.257,0.288,0.545,lawlajo01
497,Blaine Crim,28,2TM,20,74,65,10,13,2,0,5,12,0.27,0.462,0.732,crimbl01
497,Blaine Crim,28,TEX,5,13,11,1,0,0,0,0,0,0.154,0,0.154,crimbl01
497,Blaine Crim,28,COL,15,61,54,9,13,2,0,5,12,0.295,0.556,0.851,crimbl01
498,Jacob Amaya,26,CHW,36,73,66,7,7,1,0,0,8,0.139,0.121,0.26,amayaja01
499,Sean Bouchard,29,COL,32,73,66,7,11,0,1,1,7,0.247,0.242,0.489,bouchse01
500,Andrés Chaparro,26,WSN,34,73,66,4,12,2,0,1,5,0.247,0.258,0.504,chapaan01
501,Everson Pereira,24,TBR,23,73,65,7,9,1,0,2,8,0.219,0.246,0.465,pereiev01
502,Anthony Seigler*,26,MIL,34,73,62,6,12,1,0,0,5,0.292,0.21,0.501,seiglan01
503,Tim Elko,26,CHW,23,72,67,6,9,1,0,4,8,0.194,0.328,0.523,elkoti01
504,Nick Yorke,23,PIT,22,72,69,7,16,3,0,1,8,0.264,0.319,0.583,yorkeni01
505,José Fermín,26,STL,30,70,60,5,17,5,0,1,9,0.377,0.417,0.793,fermijo01
506,Matthew Lugo,24,LAA,31,70,69,9,16,2,1,4,9,0.243,0.464,0.707,lugoma01
507,Carter Jensen*,21,KCR,20,69,60,12,18,6,0,3,13,0.391,0.55,0.941,jenseca01
508,Moisés Ballesteros*,21,CHC,20,66,57,12,17,2,1,2,11,0.394,0.474,0.868,ballemo01
509,Gustavo Campero#,27,LAA,28,66,58,9,10,1,0,3,8,0.273,0.345,0.618,campegu01
510,Jorbit Vivas*,24,NYY,29,66,56,6,9,2,0,1,5,0.266,0.25,0.516,vivasjo01
511,Nathan Church*,24,STL,27,65,56,9,10,1,0,1,8,0.254,0.25,0.504,churcna01
512,Jarred Kelenic*,25,ATL,24,65,60,7,10,2,0,2,2,0.231,0.3,0.531,kelenja01
